 h|Regra do Trapezio|Regra do Simpson|Regra de Boole
   8.3333333333333329E-002 |  0.10383523205668169      |  0.15939078761223724      |  0.12988166482986183     
   4.1666666666666664E-002 |   5.4632345135648061E-002 |   8.2410122913425837E-002 |  0.12803866904646671     
   2.0833333333333332E-002 |   2.7661944811957353E-002 |   4.1550833700846238E-002 |   7.6426478806252821E-002
   1.0416666666666666E-002 |   1.3874396257218759E-002 |   2.0818840701663205E-002 |   4.0350779916788863E-002
   5.2083333333333330E-003 |   6.9426324431009316E-003 |   1.0414854665323152E-002 |   2.0559295069878379E-002
   2.6041666666666665E-003 |   3.4719957088534485E-003 |   5.2081068199645595E-003 |   1.0355223575000381E-002
   1.3020833333333333E-003 |   1.7360827965274780E-003 |   2.6041383520830335E-003 |   5.1938675369010414E-003
   6.5104166666666663E-004 |   8.6805201621970951E-004 |   1.3020797939974872E-003 |   2.6006627921264713E-003
   3.2552083333333332E-004 |   4.3402733536039410E-004 |   6.5104122424928298E-004 |   1.3012214795755769E-003
   1.6276041666666666E-004 |   2.1701383358670336E-004 |   3.2552077803114780E-004 |   6.5082797025108313E-004
